"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
304818,"MX-TLA","TLA","Tlaxcala","NA","MX","https://en.wikipedia.org/wiki/Tlaxcala",
304819,"MX-U-A","U-A","(unassigned)","NA","MX",,
304820,"MX-VER","VER","Veracruz","NA","MX","https://en.wikipedia.org/wiki/Veracruz",
304821,"MX-YUC","YUC","Yucatán","NA","MX","https://en.wikipedia.org/wiki/Yucat%C3%A1n",
304822,"MX-ZAC","ZAC","Zacatecas","NA","MX","https://en.wikipedia.org/wiki/Zacatecas",
304823,"MY-01",01,"Johor","AS","MY","https://en.wikipedia.org/wiki/Johor",
304824,"MY-02",02,"Kedah","AS","MY","https://en.wikipedia.org/wiki/Kedah",
304825,"MY-03",03,"Kelantan","AS","MY","https://en.wikipedia.org/wiki/Kelantan",
304826,"MY-04",04,"Melaka","AS","MY","https://en.wikipedia.org/wiki/Melaka",
304827,"MY-05",05,"Negeri Sembilan","AS","MY","https://en.wikipedia.org/wiki/Negeri_Sembilan",
304828,"MY-06",06,"Pahang","AS","MY","https://en.wikipedia.org/wiki/Pahang",
304829,"MY-07",07,"Pulau Pinang","AS","MY","https://en.wikipedia.org/wiki/Pulau_Pinang",
304830,"MY-08",08,"Perak","AS","MY","https://en.wikipedia.org/wiki/Perak",
304831,"MY-09",09,"Perlis","AS","MY","https://en.wikipedia.org/wiki/Perlis",
304832,"MY-10",10,"Selangor","AS","MY","https://en.wikipedia.org/wiki/Selangor",
304833,"MY-11",11,"Terengganu","AS","MY","https://en.wikipedia.org/wiki/Terengganu",
304834,"MY-12",12,"Sabah","AS","MY","https://en.wikipedia.org/wiki/Sabah",
304835,"MY-13",13,"Sarawak","AS","MY","https://en.wikipedia.org/wiki/Sarawak",
304836,"MY-14",14,"Wilayah Persekutuan Kuala Lumpur","AS","MY","https://en.wikipedia.org/wiki/Wilayah_Persekutuan_Kuala_Lumpur",
304837,"MY-15",15,"Wilayah Persekutuan Labuan","AS","MY","https://en.wikipedia.org/wiki/Wilayah_Persekutuan_Labuan",
304838,"MY-16",16,"Wilayah Persekutuan Putrajaya","AS","MY","https://en.wikipedia.org/wiki/Wilayah_Persekutuan_Putrajaya",
304839,"MY-U-A","U-A","(unassigned)","AS","MY",,
304840,"MZ-A","A","Niassa Province","AF","MZ","https://en.wikipedia.org/wiki/Niassa_Province",
304841,"MZ-B","B","Manica Province","AF","MZ","https://en.wikipedia.org/wiki/Manica_Province",
304842,"MZ-G","G","Gaza Province","AF","MZ","https://en.wikipedia.org/wiki/Gaza_Province",
304843,"MZ-I","I","Inhambane Province","AF","MZ","https://en.wikipedia.org/wiki/Inhambane_Province",
306567,"MZ-L","L","Maputo Province","AF","MZ","https://en.wikipedia.org/wiki/Maputo_Province",
304844,"MZ-MPM","MPM","Maputo (city)","AF","MZ","https://en.wikipedia.org/wiki/Maputo",
304845,"MZ-N","N","Nampula Province","AF","MZ","https://en.wikipedia.org/wiki/Nampula_Province",
304846,"MZ-P","P","Cabo Delgado Province","AF","MZ","https://en.wikipedia.org/wiki/Cabo_Delgado_Province",
304847,"MZ-Q","Q","Zambezia Province","AF","MZ","https://en.wikipedia.org/wiki/Zambezia_Province",
304848,"MZ-S","S","Sofala Province","AF","MZ","https://en.wikipedia.org/wiki/Sofala_Province",
304849,"MZ-T","T","Tete Province","AF","MZ","https://en.wikipedia.org/wiki/Tete_Province",
304850,"MZ-U-A","U-A","(unassigned)","AF","MZ",,
304851,"NA-CA","CA","Zambezi Region","AF","NA","https://en.wikipedia.org/wiki/Zambezi_Region",
304852,"NA-ER","ER","Erongo Region","AF","NA","https://en.wikipedia.org/wiki/Erongo_Region",
304853,"NA-HA","HA","Hardap Region","AF","NA","https://en.wikipedia.org/wiki/Hardap_Region",
304854,"NA-KA","KA","ǁKaras Region","AF","NA","https://en.wikipedia.org/wiki/ǁKaras_Region",
304859,"NA-KE","KE","Kavango East Region","AF","NA","https://en.wikipedia.org/wiki/Kavango_East_Region",
304855,"NA-KH","KH","Khomas Region","AF","NA","https://en.wikipedia.org/wiki/Khomas_Region",
304856,"NA-KU","KU","Kunene Region","AF","NA","https://en.wikipedia.org/wiki/Kunene_Region",
317043,"NA-KW","KW","Kavango West Region","AF","NA","https://en.wikipedia.org/wiki/Kavango_West",
304857,"NA-OD","OD","Otjozondjupa Region","AF","NA","https://en.wikipedia.org/wiki/Otjozondjupa_Region",
304858,"NA-OH","OH","Omaheke Region","AF","NA","https://en.wikipedia.org/wiki/Omaheke_Region",
304860,"NA-ON","ON","Oshana Region","AF","NA","https://en.wikipedia.org/wiki/Oshana_Region",
304861,"NA-OS","OS","Omusati Region","AF","NA","https://en.wikipedia.org/wiki/Omusati_Region",
304862,"NA-OT","OT","Oshikoto Region","AF","NA","https://en.wikipedia.org/wiki/Oshikoto_Region",
304863,"NA-OW","OW","Ohangwena Region","AF","NA","https://en.wikipedia.org/wiki/Ohangwena_Region",
304864,"NA-U-A","U-A","(unassigned)","AF","NA",,
304865,"NC-U-A","U-A","(unassigned)","OC","NC",,
304866,"NE-1",1,"Agadez Region","AF","NE","https://en.wikipedia.org/wiki/Agadez_Region",
304867,"NE-2",2,"Diffa Region","AF","NE","https://en.wikipedia.org/wiki/Diffa_Region",
304868,"NE-3",3,"Dosso Region","AF","NE","https://en.wikipedia.org/wiki/Dosso_Region",
304869,"NE-4",4,"Maradi Region","AF","NE","https://en.wikipedia.org/wiki/Maradi_Region",
304873,"NE-5",5,"Tahoua Region","AF","NE","https://en.wikipedia.org/wiki/Tahoua_Region",
304870,"NE-6",6,"Tillabéri Region","AF","NE","https://en.wikipedia.org/wiki/Tillab%C3%A9ri_Region",
304871,"NE-7",7,"Zinder Region","AF","NE","https://en.wikipedia.org/wiki/Zinder_Region",
304872,"NE-8",8,"Niamey Capital District","AF","NE","https://en.wikipedia.org/wiki/Niamey",
304874,"NE-U-A","U-A","(unassigned)","AF","NE",,
304875,"NF-U-A","U-A","(unassigned)","OC","NF",,
304876,"NG-AB","AB","Abia","AF","NG","https://en.wikipedia.org/wiki/Abia",
304877,"NG-AD","AD","Adamawa","AF","NG","https://en.wikipedia.org/wiki/Adamawa",
304878,"NG-AK","AK","Akwa Ibom","AF","NG","https://en.wikipedia.org/wiki/Akwa_Ibom",
304879,"NG-AN","AN","Anambra","AF","NG","https://en.wikipedia.org/wiki/Anambra",
304880,"NG-BA","BA","Bauchi","AF","NG","https://en.wikipedia.org/wiki/Bauchi",
304881,"NG-BE","BE","Benue","AF","NG","https://en.wikipedia.org/wiki/Benue",
304882,"NG-BO","BO","Borno","AF","NG","https://en.wikipedia.org/wiki/Borno",
304883,"NG-BY","BY","Bayelsa","AF","NG","https://en.wikipedia.org/wiki/Bayelsa",
304884,"NG-CR","CR","Cross River","AF","NG","https://en.wikipedia.org/wiki/Cross_River",
304885,"NG-DE","DE","Delta","AF","NG","https://en.wikipedia.org/wiki/Delta",
304886,"NG-EB","EB","Ebonyi","AF","NG","https://en.wikipedia.org/wiki/Ebonyi",
304887,"NG-ED","ED","Edo","AF","NG","https://en.wikipedia.org/wiki/Edo",
304888,"NG-EK","EK","Ekiti","AF","NG","https://en.wikipedia.org/wiki/Ekiti",
304889,"NG-EN","EN","Enugu","AF","NG","https://en.wikipedia.org/wiki/Enugu",
304890,"NG-FC","FC","Abuja Capital Territory","AF","NG","https://en.wikipedia.org/wiki/Abuja_Capital_Territory",
304891,"NG-GO","GO","Gombe","AF","NG","https://en.wikipedia.org/wiki/Gombe",
304892,"NG-IM","IM","Imo","AF","NG","https://en.wikipedia.org/wiki/Imo",
304893,"NG-JI","JI","Jigawa","AF","NG","https://en.wikipedia.org/wiki/Jigawa",
304894,"NG-KD","KD","Kaduna","AF","NG","https://en.wikipedia.org/wiki/Kaduna",
304895,"NG-KE","KE","Kebbi","AF","NG","https://en.wikipedia.org/wiki/Kebbi",
304896,"NG-KN","KN","Kano","AF","NG","https://en.wikipedia.org/wiki/Kano",
304897,"NG-KO","KO","Kogi","AF","NG","https://en.wikipedia.org/wiki/Kogi",
304898,"NG-KT","KT","Katsina","AF","NG","https://en.wikipedia.org/wiki/Katsina",
304899,"NG-KW","KW","Kwara","AF","NG","https://en.wikipedia.org/wiki/Kwara",
304900,"NG-LA","LA","Lagos","AF","NG","https://en.wikipedia.org/wiki/Lagos",
304901,"NG-NA","NA","Nassarawa","AF","NG","https://en.wikipedia.org/wiki/Nassarawa",
304902,"NG-NI","NI","Niger","AF","NG","https://en.wikipedia.org/wiki/Niger",
304903,"NG-OG","OG","Ogun","AF","NG","https://en.wikipedia.org/wiki/Ogun",
304904,"NG-ON","ON","Ondo","AF","NG","https://en.wikipedia.org/wiki/Ondo",
304905,"NG-OS","OS","Osun","AF","NG","https://en.wikipedia.org/wiki/Osun",
304906,"NG-OY","OY","Oyo","AF","NG","https://en.wikipedia.org/wiki/Oyo",
304907,"NG-PL","PL","Plateau","AF","NG","https://en.wikipedia.org/wiki/Plateau",
304908,"NG-RI","RI","Rivers","AF","NG","https://en.wikipedia.org/wiki/Rivers",
304909,"NG-SO","SO","Sokoto","AF","NG","https://en.wikipedia.org/wiki/Sokoto",
304910,"NG-TA","TA","Taraba","AF","NG","https://en.wikipedia.org/wiki/Taraba",
304911,"NG-U-A","U-A","(unassigned)","AF","NG",,
304912,"NG-YO","YO","Yobe","AF","NG","https://en.wikipedia.org/wiki/Yobe",
304913,"NG-ZA","ZA","Zamfara","AF","NG","https://en.wikipedia.org/wiki/Zamfara",
304914,"NI-AN","AN","Atlantico Norte","NA","NI","https://en.wikipedia.org/wiki/Atlantico_Norte",
304915,"NI-AS","AS","Atlantico Sur","NA","NI","https://en.wikipedia.org/wiki/Atlantico_Sur",
304916,"NI-BO","BO","Boaco","NA","NI","https://en.wikipedia.org/wiki/Boaco",
304917,"NI-CA","CA","Carazo","NA","NI","https://en.wikipedia.org/wiki/Carazo",
304918,"NI-CI","CI","Chinandega","NA","NI","https://en.wikipedia.org/wiki/Chinandega",
304919,"NI-CO","CO","Chontales","NA","NI","https://en.wikipedia.org/wiki/Chontales",
304920,"NI-ES","ES","Esteli","NA","NI","https://en.wikipedia.org/wiki/Esteli",
304921,"NI-GR","GR","Grenada","NA","NI","https://en.wikipedia.org/wiki/Grenada",
304922,"NI-JI","JI","Jinotega","NA","NI","https://en.wikipedia.org/wiki/Jinotega",
304923,"NI-LE","LE","Leon","NA","NI","https://en.wikipedia.org/wiki/Leon",
304924,"NI-MD","MD","Madriz","NA","NI","https://en.wikipedia.org/wiki/Madriz",
304925,"NI-MN","MN","Managua","NA","NI","https://en.wikipedia.org/wiki/Managua",
304926,"NI-MS","MS","Masaya","NA","NI","https://en.wikipedia.org/wiki/Masaya",
304927,"NI-MT","MT","Matagalpa","NA","NI","https://en.wikipedia.org/wiki/Matagalpa",
304928,"NI-NS","NS","Nueva Segovia","NA","NI","https://en.wikipedia.org/wiki/Nueva_Segovia",
304929,"NI-RI","RI","Rivas","NA","NI","https://en.wikipedia.org/wiki/Rivas",
304930,"NI-SJ","SJ","Rio San Juan","NA","NI","https://en.wikipedia.org/wiki/Rio_San_Juan",
304931,"NI-U-A","U-A","(unassigned)","NA","NI",,
304932,"NL-DR","DR","Drente","EU","NL","https://en.wikipedia.org/wiki/Drente",
304933,"NL-FL","FL","Flevoland","EU","NL","https://en.wikipedia.org/wiki/Flevoland",
304934,"NL-FR","FR","Friesland","EU","NL","https://en.wikipedia.org/wiki/Friesland",
304935,"NL-GE","GE","Gelderland","EU","NL","https://en.wikipedia.org/wiki/Gelderland",
304936,"NL-GR","GR","Groningen","EU","NL","https://en.wikipedia.org/wiki/Groningen",
304937,"NL-LI","LI","Limburg","EU","NL","https://en.wikipedia.org/wiki/Limburg",
304938,"NL-NB","NB","Noord-Brabant","EU","NL","https://en.wikipedia.org/wiki/Noord-Brabant",
304939,"NL-NH","NH","Noord-Holland","EU","NL","https://en.wikipedia.org/wiki/Noord-Holland",
304940,"NL-OV","OV","Overijssel","EU","NL","https://en.wikipedia.org/wiki/Overijssel",
304941,"NL-U-A","U-A","(unassigned)","EU","NL",,
304942,"NL-UT","UT","Utrecht","EU","NL","https://en.wikipedia.org/wiki/Utrecht",
304943,"NL-ZH","ZH","Zuid-Holland","EU","NL","https://en.wikipedia.org/wiki/Zuid-Holland",
304944,"NL-ZL","ZL","Zeeland","EU","NL","https://en.wikipedia.org/wiki/Zeeland",
304947,"NO-03",03,"Oslo","EU","NO","https://en.wikipedia.org/wiki/Oslo",
304955,"NO-11",11,"Rogaland","EU","NO","https://en.wikipedia.org/wiki/Rogaland",
304958,"NO-15",15,"Møre og Romsdal","EU","NO","https://en.wikipedia.org/wiki/Møre_og_Romsdal",
304961,"NO-18",18,"Nordland","EU","NO","https://en.wikipedia.org/wiki/Nordland",
304964,"NO-21",21,"Svalbard","EU","NO","https://en.wikipedia.org/wiki/Svalbard",
304965,"NO-22",22,"Jan Mayen","EU","NO","https://en.wikipedia.org/wiki/Jan_Mayen",
349851,"NO-30",30,"Viken","EU","NO","https://en.wikipedia.org/wiki/Viken_(county)",
